,scores
1273,999735.0
1274,999776.0
1275,998236.0
1276,999229.0
1277,999741.0
1278,998474.0
1279,999724.0
1280,998677.0
1281,999571.0
1282,998384.0
1283,998257.0
1284,998847.0
1285,999762.0
1286,998922.0
1287,999310.0
1288,999720.0
1289,998590.0
1290,998544.0
1291,997998.0
1292,999729.0
1293,999468.0
1294,998985.0
1295,998949.0
1296,998867.0
1297,999762.0
1298,999473.0
1299,999755.0
1300,998131.0
1301,999772.0
1302,999762.0
1303,999384.0
1304,998110.0
1305,997821.0
1306,999769.0
1307,999465.0
1308,999474.0
1309,998500.0
1310,997886.0
1311,998887.0
1312,998386.0
1313,998439.0
1314,999739.0
1315,-2800.0
1316,998838.0
1317,998857.0
1318,999187.0
1319,998873.0
1320,999779.0
1321,999748.0
1322,999376.0
1323,999114.0
1324,999750.0
1325,998532.0
1326,998508.0
1327,999748.0
1328,999748.0
1329,999524.0
1330,999006.0
1331,998341.0
1332,999783.0
1333,998663.0
1334,999581.0
1335,998201.0
1336,998636.0
1337,998320.0
1338,-1157.0
1339,999776.0
1340,998390.0
1341,999664.0
1342,998761.0
1343,998838.0
1344,998649.0
1345,998369.0
1346,-2800.0
1347,999020.0
1348,999717.0
1349,999741.0
1350,998802.0
1351,999719.0
1352,999794.0
1353,999103.0
1354,999370.0
1355,999396.0
1356,999797.0
1357,999638.0
1358,999741.0
1359,998121.0
1360,-2680.0
1361,999332.0
1362,998070.0
1363,999776.0
1364,999755.0
1365,998810.0
1366,999403.0
1367,998536.0
1368,999277.0
1369,998289.0
1370,999757.0
1371,998259.0
1372,999655.0
1373,999555.0
1374,999511.0
1375,998733.0
1376,-2842.0
1377,999560.0
1378,999006.0
1379,998294.0
1380,999729.0
1381,998330.0
1382,999413.0
1383,-2800.0
1384,999783.0
1385,999501.0
1386,999720.0
1387,999455.0
1388,999678.0
1389,999493.0
1390,997900.0
1391,999020.0
1392,998890.0
1393,999783.0
1394,999679.0
1395,999725.0
1396,999752.0
1397,999516.0
1398,998992.0
1399,998572.0
1400,999410.0
1401,999748.0
1402,999716.0
1403,999755.0
1404,999762.0
1405,-2734.0
1406,999494.0
1407,998901.0
1408,998444.0
1409,999024.0
1410,999776.0
1411,999543.0
1412,998649.0
1413,998991.0
1414,999123.0
1415,999062.0
1416,999632.0
1417,999762.0
1418,998411.0
1419,999507.0
1420,997872.0
1421,999749.0
1422,999492.0
1423,998189.0
1424,999007.0
1425,998292.0
1426,999073.0
1427,999699.0
1428,999598.0
1429,-2738.0
1430,999069.0
1431,999755.0
1432,999348.0
1433,998040.0
1434,999720.0
1435,999148.0
1436,999041.0
1437,999769.0
1438,998433.0
1439,999570.0
1440,998587.0
1441,998178.0
1442,999754.0
1443,998600.0
1444,998915.0
1445,999065.0
1446,999749.0
