,scores
1304,-76.0
1305,-78.0
1306,-87.0
1307,-96.0
1308,-119.0
1309,-83.0
1310,-64.0
1311,-87.0
1312,-94.0
1313,-99.0
1314,-82.0
1315,-91.0
1316,-97.0
1317,-97.0
1318,-112.0
1319,-71.0
1320,-92.0
1321,-94.0
1322,-63.0
1323,-107.0
1324,-116.0
1325,-98.0
1326,-89.0
1327,-114.0
1328,-107.0
1329,-126.0
1330,-81.0
1331,-111.0
1332,-95.0
1333,-69.0
1334,-79.0
1335,-101.0
1336,-91.0
1337,-113.0
1338,-94.0
1339,-91.0
1340,-81.0
1341,-89.0
1342,-85.0
1343,-106.0
1344,-160.0
1345,-93.0
1346,-95.0
1347,-84.0
1348,-95.0
1349,-91.0
1350,-85.0
1351,-84.0
1352,-93.0
1353,-83.0
1354,-81.0
1355,-129.0
1356,-149.0
1357,-96.0
1358,-85.0
1359,-85.0
1360,-91.0
1361,-82.0
1362,-83.0
1363,-122.0
1364,-91.0
1365,-96.0
1366,-75.0
1367,-93.0
1368,-81.0
1369,-82.0
1370,-96.0
1371,-96.0
1372,-86.0
1373,-101.0
1374,-82.0
1375,-101.0
1376,-85.0
1377,-103.0
1378,-86.0
1379,-101.0
1380,-83.0
1381,-102.0
1382,-111.0
1383,-102.0
1384,-77.0
1385,-92.0
1386,-89.0
1387,-110.0
1388,-108.0
1389,-81.0
1390,-83.0
1391,-124.0
1392,-88.0
1393,-82.0
1394,-91.0
1395,-90.0
1396,-87.0
1397,-168.0
1398,-112.0
1399,-113.0
1400,-97.0
1401,-105.0
1402,-98.0
1403,-122.0
1404,-103.0
1405,-93.0
1406,-94.0
1407,-86.0
1408,-101.0
1409,-345.0
1410,-85.0
1411,-94.0
1412,-142.0
1413,-102.0
1414,-137.0
1415,-104.0
1416,-101.0
1417,-188.0
1418,-207.0
1419,-101.0
1420,-140.0
1421,-81.0
1422,-88.0
1423,-102.0
1424,-105.0
1425,-90.0
1426,-96.0
1427,-157.0
1428,-100.0
1429,-83.0
1430,-127.0
1431,-81.0
1432,-81.0
1433,-89.0
1434,-109.0
1435,-180.0
1436,-102.0
1437,-131.0
1438,-89.0
1439,-123.0
1440,-69.0
1441,-93.0
1442,-104.0
1443,-92.0
1444,-81.0
1445,-96.0
1446,-86.0
1447,-99.0
1448,-89.0
1449,-68.0
1450,-109.0
1451,-80.0
1452,-99.0
1453,-187.0
1454,-93.0
1455,-91.0
1456,-117.0
1457,-88.0
1458,-83.0
1459,-89.0
1460,-118.0
1461,-113.0
1462,-103.0
1463,-136.0
1464,-86.0
1465,-97.0
1466,-94.0
1467,-81.0
1468,-93.0
1469,-101.0
1470,-76.0
1471,-109.0
1472,-79.0
1473,-87.0
1474,-105.0
1475,-91.0
1476,-98.0
1477,-131.0
1478,-101.0
1479,-78.0
1480,-93.0
1481,-114.0
1482,-94.0
1483,-87.0
1484,-84.0
1485,-105.0
1486,-101.0
1487,-146.0
1488,-109.0
1489,-89.0
1490,-86.0
1491,-95.0
1492,-98.0
1493,-88.0
1494,-108.0
1495,-82.0
1496,-91.0
1497,-83.0
1498,-74.0
1499,-77.0
1500,-130.0
1501,-90.0
1502,-105.0
1503,-91.0
1504,-97.0
1505,-101.0
1506,-100.0
1507,-81.0
1508,-63.0
1509,-102.0
1510,-95.0
1511,-100.0
1512,-96.0
1513,-115.0
1514,-138.0
1515,-87.0
1516,-93.0
1517,-111.0
1518,-95.0
1519,-115.0
1520,-102.0
1521,-105.0
1522,-122.0
1523,-95.0
1524,-76.0
1525,-81.0
1526,-110.0
1527,-139.0
1528,-76.0
1529,-72.0
1530,-127.0
1531,-94.0
1532,-121.0
1533,-74.0
1534,-107.0
1535,-132.0
1536,-94.0
1537,-86.0
1538,-102.0
1539,-106.0
1540,-87.0
1541,-109.0
1542,-124.0
1543,-89.0
1544,-93.0
1545,-116.0
1546,-105.0
1547,-103.0
1548,-97.0
1549,-204.0
1550,-83.0
1551,-75.0
1552,-93.0
1553,-105.0
1554,-71.0
1555,-119.0
1556,-92.0
1557,-77.0
1558,-107.0
1559,-97.0
1560,-82.0
1561,-92.0
1562,-273.0
1563,-75.0
1564,-97.0
1565,-93.0
1566,-95.0
1567,-106.0
1568,-85.0
1569,-91.0
1570,-93.0
1571,-77.0
1572,-121.0
1573,-78.0
1574,-90.0
1575,-131.0
1576,-106.0
1577,-93.0
1578,-101.0
1579,-97.0
1580,-131.0
1581,-77.0
